sample_id,region,province_soil_name,soil_texture_class,climate_type,season,elevation_m,temp_c,rainfall_mm,nitrogen_pct,phosphorus_ppm,potassium_cmol,soil_ph,organic_matter_pct,moisture_pct,cation_exchange_capacity,base_saturation_pct,soil_depth_cm,bulk_density_gcc,drainage_class,near_water_body,slope_pct,farm_history,previous_crop,best_crop,top3_crops,suitability_spread,score_Palay (Rice),score_Mais (Corn),score_Cassava,score_Camote,score_Saging (Banana),score_Tubo (Sugarcane),score_Niyog (Coconut),score_Kape (Coffee),score_Kakaw (Cacao),score_Abaka (Abaca),score_Luya (Ginger),score_Langka (Jackfruit),score_Pechay,score_Sitaw (String Beans),score_Ampalaya,score_Malunggay (Moringa),score_Talong (Eggplant),score_Kamatis (Tomato),score_Sibuyas (Onion),score_Bawang (Garlic),score_Pinya (Pineapple),score_Mangga (Mango),score_Durian,score_Repolyo (Cabbage),score_Strawberry
SOIL004001,Central Luzon,Pampanga Clay,Clay,Type I,Wet Season,294.8,25.6,307.8,0.371,,1.504,6.3,4.24,95.0,16.0,77.1,75.0,1.19,Moderately Well Drained,0,1.3,Rotation,Vegetable,Tubo (Sugarcane),Tubo (Sugarcane)|Palay (Rice)|Saging (Banana),47.9,98.2,90.5,61.8,61.4,92.6,100.0,88.9,89.6,92.6,91.3,91.1,83.0,66.5,62.4,73.8,82.8,70.3,64.0,63.7,60.2,90.8,68.1,90.1,52.1,53.6
SOIL002024,Bicol Region,Bicol Clay,Clay,Type II,Dry Season,363.1,31.3,268.8,0.306,8.94,1.746,6.8,2.53,42.8,19.3,62.5,45.0,1.49,Moderately Well Drained,1,3.2,Fallow,Rice,Tubo (Sugarcane),Tubo (Sugarcane)|Mangga (Mango)|Niyog (Coconut),43.4,82.3,90.4,80.9,75.2,90.7,100.0,91.0,56.6,71.7,66.1,66.3,90.1,78.8,84.6,89.2,87.0,87.0,77.6,69.8,68.2,82.6,92.4,66.0,67.8,56.8
SOIL005622,Ilocos Region,Luisiana Clay Loam,Clay Loam,Type I,Dry Season,51.6,27.3,47.3,0.268,10.52,1.578,6.6,3.12,26.5,17.8,75.7,75.0,1.38,Well Drained,0,3.1,Monocrop,Corn,Malunggay (Moringa),Malunggay (Moringa)|Talong (Eggplant)|Kamatis (Tomato),31.5,68.9,99.9,84.1,81.8,96.6,89.5,95.6,68.5,71.7,73.6,71.7,95.3,96.7,87.5,97.1,100.0,100.0,100.0,92.5,89.8,87.3,100.0,74.0,87.9,75.8
SOIL007410,SOCCSKSARGEN,Sultan Kudarat Clay,Clay,Type IV,Wet Season,364.4,27.7,128.4,0.354,7.24,0.908,6.2,3.63,36.2,21.5,15.0,90.0,1.16,Excessively Drained,0,17.9,Fallow,Corn,Tubo (Sugarcane),Tubo (Sugarcane)|Palay (Rice)|Pinya (Pineapple),38.5,91.9,81.2,60.7,57.1,77.9,92.4,85.2,80.1,82.2,79.3,79.8,77.8,68.2,57.3,67.9,79.1,66.5,66.0,69.5,61.1,90.5,62.7,72.5,53.9,54.9
SOIL003915,Central Luzon,Bulacan Clay Loam,Clay Loam,Type I,Transition,19.6,27.2,53.2,0.087,32.6,0.791,6.3,0.59,42.1,19.8,48.9,60.0,0.95,Poorly Drained,0,5.3,Orchard,Vegetable,Malunggay (Moringa),Malunggay (Moringa)|Langka (Jackfruit)|Mangga (Mango),37.4,83.1,81.6,71.6,76.1,75.7,54.3,78.0,69.9,76.6,74.8,75.4,84.6,81.7,73.2,82.4,88.2,79.8,82.7,63.5,50.8,71.0,83.4,72.0,68.2,60.2
SOIL004392,CALABARZON,Lipa Clay Loam,Clay Loam,Type III,Transition,145.1,27.3,114.3,0.264,3.16,0.857,5.3,2.76,50.3,15.1,35.3,90.0,1.45,Somewhat Poorly Drained,0,3.4,Virgin Land,Rice,Mangga (Mango),Mangga (Mango)|Palay (Rice)|Talong (Eggplant),47.0,92.4,85.0,77.8,74.0,83.1,62.5,88.0,85.4,83.8,84.3,81.4,86.8,87.9,68.0,79.1,88.5,89.5,73.0,46.4,46.9,81.1,93.4,81.5,65.4,63.8
SOIL002902,Ilocos Region,Aparri Sandy Loam,Sandy Loam,Type I,Dry Season,240.1,29.4,89.0,0.212,7.82,1.406,6.2,2.59,28.8,20.2,79.1,90.0,0.91,Moderately Well Drained,0,3.0,Orchard,None,Cassava,Cassava|Malunggay (Moringa)|Kamatis (Tomato),37.6,62.4,97.6,100.0,97.2,94.8,81.6,98.1,73.4,74.8,73.8,75.8,96.9,97.3,97.9,98.6,100.0,97.6,100.0,93.4,92.1,100.0,100.0,71.2,87.9,89.2
SOIL000405,Bicol Region,Camarines Sandy Loam,Sandy Loam,Type II,Dry Season,97.2,28.9,235.4,0.232,10.88,2.165,6.5,2.52,30.5,30.2,60.0,90.0,1.09,Well Drained,0,2.2,Virgin Land,Coconut,Niyog (Coconut),Niyog (Coconut)|Langka (Jackfruit)|Sitaw (String Beans),34.5,65.5,97.8,97.5,97.7,96.5,93.7,100.0,76.3,80.8,86.6,83.2,100.0,98.9,100.0,100.0,98.4,97.2,97.9,91.0,79.6,100.0,100.0,83.3,82.2,78.6
SOIL001877,CAR,Baguio Clay Loam,Clay Loam,Type III,Wet Season,917.8,25.8,245.6,0.07,13.92,3.418,5.5,1.75,58.6,12.3,55.5,60.0,1.6,Excessively Drained,0,4.5,Orchard,Corn,Niyog (Coconut),Niyog (Coconut)|Malunggay (Moringa)|Kape (Coffee),62.9,79.4,84.5,62.2,66.4,87.2,88.1,100.0,89.3,88.7,87.6,82.0,89.3,69.7,55.6,59.1,95.6,72.0,55.0,38.2,37.1,88.6,71.2,87.3,40.0,43.1
SOIL006244,Northern Mindanao,Lanao Clay,Clay,Type IV,Dry Season,716.1,27.9,152.9,0.233,2.66,1.293,5.6,2.06,8.1,21.1,90.4,45.0,1.14,Well Drained,1,1.4,Virgin Land,Corn,Tubo (Sugarcane),Tubo (Sugarcane)|Langka (Jackfruit)|Talong (Eggplant),35.8,67.8,89.0,88.9,83.8,90.6,99.5,89.8,64.7,69.7,65.0,71.8,91.9,87.8,76.7,73.8,86.5,91.0,78.3,80.7,75.7,89.2,86.5,63.7,70.5,76.3
SOIL005331,Davao Region,Davao Clay Loam,Clay Loam,Type IV,Wet Season,247.6,29.3,176.8,0.119,15.31,2.35,5.4,,80.2,13.9,86.9,60.0,1.34,Poorly Drained,0,0.5,Orchard,Corn,Palay (Rice),Palay (Rice)|Kakaw (Cacao)|Langka (Jackfruit),56.3,99.2,88.9,62.5,65.2,90.5,87.8,89.9,87.1,91.6,90.3,91.0,91.6,71.2,53.6,59.3,88.5,73.3,58.4,50.1,42.9,83.7,73.8,87.8,48.4,50.2
SOIL004572,Davao Region,Davao Clay Loam,Clay Loam,Type IV,Wet Season,274.3,28.4,218.4,0.167,13.02,1.939,4.5,1.2,66.2,15.9,46.5,90.0,1.44,Moderately Well Drained,1,3.2,Monocrop,Rice,Niyog (Coconut),Niyog (Coconut)|Langka (Jackfruit)|Abaka (Abaca),56.0,88.3,81.0,67.8,58.1,80.0,80.0,90.8,83.7,87.2,88.6,80.2,90.3,61.1,55.9,61.8,88.2,61.0,61.8,45.5,35.0,80.1,73.8,87.3,47.6,34.8
SOIL003782,Caraga,Surigao Clay Loam,Clay Loam,Type II,Wet Season,28.7,30.3,445.5,0.14,4.07,0.689,6.1,2.01,56.5,16.3,63.3,75.0,1.44,Poorly Drained,0,1.7,Virgin Land,Corn,Palay (Rice),Palay (Rice)|Abaka (Abaca)|Niyog (Coconut),54.8,94.8,87.5,57.5,48.0,87.7,84.2,90.8,75.7,85.0,90.9,83.5,86.6,55.4,50.5,57.7,75.4,64.1,54.2,44.8,43.1,68.5,64.1,90.2,44.5,40.0
SOIL003280,Central Visayas,Cebu Clay Loam,Clay Loam,Type III,Transition,98.7,30.2,266.7,0.121,7.43,3.798,5.9,0.7,45.0,18.2,54.2,150.0,1.27,Moderately Well Drained,1,2.7,Orchard,None,Talong (Eggplant),Talong (Eggplant)|Durian|Niyog (Coconut),52.9,86.6,88.5,73.4,85.0,90.8,82.3,91.9,83.4,91.0,91.9,91.6,90.8,87.6,80.2,90.7,86.3,95.1,87.2,48.5,42.2,81.7,91.7,93.2,62.9,61.5
SOIL002490,SOCCSKSARGEN,South Cotabato Loam,Loam,Type IV,Wet Season,349.5,28.2,146.6,0.123,13.19,2.927,6.7,1.2,75.1,11.9,78.5,75.0,1.28,Moderately Well Drained,0,4.9,Virgin Land,Unknown,Niyog (Coconut),Niyog (Coconut)|Kakaw (Cacao)|Saging (Banana),38.7,90.3,95.0,70.6,76.9,96.1,91.1,98.6,92.6,96.8,91.6,93.7,95.4,80.9,79.7,78.0,96.1,79.2,76.5,78.7,73.2,92.4,78.0,84.8,64.7,59.9
SOIL000280,Central Visayas,Cebu Clay Loam,Clay Loam,Type III,Dry Season,186.2,26.8,227.1,0.166,6.93,1.336,5.7,,25.4,25.0,52.4,45.0,1.32,Excessively Drained,0,5.5,Rotation,None,Niyog (Coconut),Niyog (Coconut)|Malunggay (Moringa)|Mais (Corn),42.0,73.4,93.9,92.4,84.3,91.4,93.2,100.0,76.2,75.3,74.9,76.2,91.8,92.9,78.7,80.9,100.0,92.3,81.6,66.8,62.7,90.3,93.3,71.2,70.7,58.0
SOIL006780,Bicol Region,Albay Clay Loam,Clay Loam,Type II,Dry Season,313.2,29.4,137.7,0.171,18.42,0.837,7.1,1.58,29.4,19.7,42.7,90.0,1.44,Moderately Well Drained,0,0.4,Fallow,Vegetable,Tubo (Sugarcane),Tubo (Sugarcane)|Niyog (Coconut)|Pechay,39.6,77.4,98.1,88.7,87.1,91.5,100.0,100.0,67.0,79.2,74.8,77.9,99.4,100.0,93.4,98.3,100.0,99.2,100.0,88.3,85.2,81.3,99.8,64.7,90.6,60.4
SOIL006548,Caraga,Bislig Clay,Clay,Type II,Wet Season,152.3,29.2,427.0,0.129,9.0,1.275,5.7,1.26,74.3,35.3,86.1,120.0,1.13,Well Drained,0,3.8,Rotation,Rice,Tubo (Sugarcane),Tubo (Sugarcane)|Abaka (Abaca)|Niyog (Coconut),58.3,84.9,82.1,59.8,53.2,83.9,91.1,87.3,69.9,82.4,87.5,81.8,82.3,54.2,48.9,46.8,73.2,51.9,42.9,44.4,42.3,74.3,60.5,86.0,32.8,41.4
SOIL007775,Central Luzon,Bulacan Clay Loam,Clay Loam,Type I,Transition,316.3,29.2,18.3,0.275,11.01,2.343,6.7,2.37,65.8,3.0,,45.0,1.13,Well Drained,0,0.1,Orchard,None,Mangga (Mango),Mangga (Mango)|Mais (Corn)|Kamatis (Tomato),34.0,81.2,95.6,80.4,76.4,90.2,71.5,92.9,81.0,88.6,87.0,88.3,92.0,89.9,79.1,94.5,94.1,91.5,94.9,67.7,62.8,76.6,96.8,80.5,80.3,63.9
SOIL003000,Ilocos Region,Pablo Clay,Clay,Type I,Wet Season,343.6,29.6,300.5,0.092,14.51,2.34,5.3,,47.4,22.4,34.1,120.0,1.28,Well Drained,0,0.3,Orchard,Unknown,Tubo (Sugarcane),Tubo (Sugarcane)|Palay (Rice)|Malunggay (Moringa),62.8,90.4,85.6,75.8,70.2,80.7,92.9,89.5,86.9,90.0,89.3,84.7,88.9,55.4,52.0,56.8,90.4,63.4,40.9,39.2,40.0,85.8,73.0,86.9,30.1,43.0
SOIL006772,Ilocos Region,Pablo Clay,Clay,Type I,Wet Season,135.4,28.0,471.3,0.272,6.31,0.799,4.2,2.64,65.3,,66.1,90.0,1.13,Moderately Well Drained,0,23.3,Orchard,None,Palay (Rice),Palay (Rice)|Niyog (Coconut)|Abaka (Abaca),55.2,85.8,66.6,55.3,38.1,73.8,76.4,79.7,62.8,74.4,78.5,58.9,77.0,44.6,44.6,46.1,71.0,44.5,41.5,41.5,40.5,70.0,52.6,76.2,33.0,30.6
SOIL004439,SOCCSKSARGEN,Sultan Kudarat Clay,Clay,Type IV,Wet Season,182.8,26.6,93.5,0.253,5.7,0.631,6.7,1.95,52.1,,81.9,,1.0,Excessively Drained,0,1.3,Orchard,Vegetable,Malunggay (Moringa),Malunggay (Moringa)|Pinya (Pineapple)|Niyog (Coconut),46.3,79.8,79.1,73.8,57.2,78.2,86.3,86.9,71.9,78.1,74.9,77.7,80.5,66.0,61.1,63.4,91.9,65.2,58.7,62.6,62.2,87.9,61.6,66.6,52.6,45.6
SOIL007868,Central Visayas,Cebu Clay Loam,Clay Loam,Type III,Wet Season,41.5,29.4,279.3,0.057,6.8,1.006,6.7,0.5,67.0,,62.6,150.0,1.39,Well Drained,0,2.8,Fallow,Coconut,Malunggay (Moringa),Malunggay (Moringa)|Langka (Jackfruit)|Abaka (Abaca),63.0,78.9,90.9,69.1,63.5,84.0,87.5,91.5,80.4,90.7,91.7,89.0,92.9,65.6,61.7,73.6,94.0,68.6,61.6,46.5,42.5,77.2,74.1,83.6,46.6,31.0
SOIL003630,Eastern Visayas,Biliran Clay Loam,Clay Loam,Type II,Wet Season,232.0,23.5,390.1,0.193,8.68,2.215,6.5,2.16,84.5,25.7,83.2,75.0,1.19,Somewhat Poorly Drained,0,22.1,Virgin Land,Unknown,Palay (Rice),Palay (Rice)|Abaka (Abaca)|Langka (Jackfruit),50.0,100.0,90.0,59.0,54.2,89.8,92.4,90.3,87.6,88.5,94.7,92.5,93.7,61.8,53.0,63.4,82.8,60.5,61.3,53.2,50.0,65.9,67.2,93.1,58.3,51.7
SOIL003626,Eastern Visayas,Biliran Clay Loam,Clay Loam,Type II,Transition,108.6,26.9,191.0,0.175,5.35,0.874,6.2,1.53,52.6,,21.5,45.0,1.18,Moderately Well Drained,0,12.2,Monocrop,Vegetable,Niyog (Coconut),Niyog (Coconut)|Kape (Coffee)|Luya (Ginger),38.6,96.1,98.4,87.0,88.7,96.2,79.0,100.0,100.0,98.5,97.2,100.0,100.0,97.7,89.8,98.6,100.0,100.0,100.0,66.5,61.4,92.5,100.0,99.7,86.7,75.6
SOIL005342,Central Luzon,Pampanga Clay,Clay,Type I,Dry Season,62.6,29.0,38.4,0.187,9.2,2.559,6.8,1.04,11.8,20.5,58.0,90.0,1.36,Well Drained,0,9.5,Rotation,Vegetable,Malunggay (Moringa),Malunggay (Moringa)|Ampalaya|Kamatis (Tomato),39.6,59.8,79.0,75.4,81.1,75.7,80.0,78.5,44.6,60.4,52.9,56.2,76.8,77.0,80.1,83.0,84.2,79.7,82.1,80.3,78.9,75.8,79.6,48.5,66.8,62.5
SOIL007463,Davao Region,Davao Clay Loam,Clay Loam,Type IV,Transition,893.9,26.7,186.4,0.225,9.42,0.721,5.5,3.52,45.6,22.0,21.4,60.0,1.12,Poorly Drained,0,0.4,Rotation,None,Palay (Rice),Palay (Rice)|Niyog (Coconut)|Malunggay (Moringa),53.5,100.0,95.0,83.2,84.7,93.2,74.9,100.0,90.6,94.2,96.5,96.9,94.7,97.5,74.8,77.7,99.6,95.6,82.7,57.7,46.5,83.9,93.6,94.0,73.9,73.5
SOIL001724,CAR,Baguio Clay Loam,Clay Loam,Type III,Wet Season,979.6,21.9,278.7,0.091,16.73,4.296,5.2,2.1,73.8,28.2,46.2,90.0,1.37,Well Drained,0,7.6,Fallow,Coconut,Abaka (Abaca),Abaka (Abaca)|Kape (Coffee)|Mais (Corn),50.4,79.8,88.2,61.0,65.6,86.4,87.7,86.8,88.3,85.7,91.3,85.4,83.7,69.4,50.5,59.8,83.6,76.5,50.9,43.5,40.9,84.5,67.7,85.9,48.0,44.1
SOIL001832,SOCCSKSARGEN,Sultan Kudarat Clay,Clay,Type IV,Transition,305.2,32.6,237.2,0.305,20.49,3.104,6.2,3.11,50.7,3.0,70.2,90.0,1.27,Moderately Well Drained,0,0.9,Monocrop,Corn,Palay (Rice),Palay (Rice)|Ampalaya|Talong (Eggplant),43.3,96.9,91.4,81.3,76.1,88.9,86.4,90.7,81.5,87.5,85.2,86.0,93.5,82.8,93.0,94.5,83.9,93.8,84.6,55.5,53.6,91.2,93.5,90.0,78.0,75.0
SOIL007344,CALABARZON,Los Banos Clay Loam,Clay Loam,Type III,Dry Season,15.6,26.1,255.4,0.183,21.1,3.014,5.6,2.39,51.5,25.8,90.8,75.0,1.54,Excessively Drained,0,2.2,Rotation,Vegetable,Niyog (Coconut),Niyog (Coconut)|Malunggay (Moringa)|Mais (Corn),41.5,68.0,96.1,87.7,78.6,93.9,92.5,100.0,70.4,74.1,74.3,71.2,91.1,87.2,71.8,77.6,100.0,94.3,79.1,64.4,59.6,89.6,90.3,73.5,61.2,58.5
SOIL000299,Central Visayas,Negros Clay,Clay,Type III,Dry Season,282.6,29.6,192.1,0.2,12.18,3.388,7.2,2.15,46.1,15.8,90.8,120.0,1.31,Well Drained,0,1.1,Rotation,Rice,Tubo (Sugarcane),Tubo (Sugarcane)|Kamatis (Tomato)|Sitaw (String Beans),49.4,61.6,89.9,82.8,85.2,85.2,100.0,89.3,50.6,74.5,62.9,65.3,86.3,86.2,91.8,84.4,86.6,90.6,92.5,84.4,73.5,78.6,91.0,59.0,75.2,63.8
SOIL007728,Davao Region,Compostela Sandy Loam,Sandy Loam,Type IV,Wet Season,815.2,24.0,116.4,0.268,14.17,2.706,5.7,3.69,43.6,19.6,40.4,90.0,1.29,Moderately Well Drained,0,5.6,Virgin Land,None,Saging (Banana),Saging (Banana)|Luya (Ginger)|Langka (Jackfruit),24.1,84.0,98.9,79.2,78.8,100.0,86.7,98.5,99.9,97.6,95.8,100.0,100.0,86.4,80.5,75.9,100.0,86.2,79.0,76.2,79.5,100.0,88.5,93.0,76.3,79.5
SOIL001933,CALABARZON,Los Banos Clay Loam,Clay Loam,Type III,Wet Season,52.9,25.0,324.1,0.02,18.93,0.62,6.3,0.5,72.8,15.3,94.3,,1.02,Excessively Drained,0,3.2,Rotation,Corn,Malunggay (Moringa),Malunggay (Moringa)|Niyog (Coconut)|Langka (Jackfruit),60.8,75.8,81.2,60.7,51.7,77.9,77.6,87.0,78.1,79.4,78.3,77.4,82.4,52.0,42.9,58.0,90.8,57.5,47.1,42.1,42.1,78.8,59.9,79.1,42.0,30.0
SOIL006504,BARMM,Basilan Clay Loam,Clay Loam,Type IV,Transition,136.8,26.5,68.4,0.313,8.69,0.963,5.4,3.21,53.4,9.7,68.1,60.0,1.49,Moderately Well Drained,1,10.1,Orchard,Rice,Pechay,Pechay|Talong (Eggplant)|Mangga (Mango),38.7,95.1,97.6,84.4,78.0,99.6,77.7,98.1,96.9,94.4,93.3,91.8,97.0,100.0,76.0,86.4,96.7,100.0,91.6,62.7,61.3,94.6,100.0,91.9,79.3,78.0
SOIL003007,Ilocos Region,Pablo Clay,Clay,Type I,Transition,344.2,26.7,9.6,0.165,10.73,4.46,5.6,1.92,37.3,25.7,74.1,90.0,1.11,Well Drained,0,1.7,Rotation,Corn,Camote,Camote|Talong (Eggplant)|Niyog (Coconut),28.8,67.2,72.9,73.2,79.2,77.2,66.6,78.6,68.0,74.5,68.7,69.4,69.5,73.3,63.5,64.2,77.1,78.9,73.9,50.4,52.8,72.6,72.4,69.1,56.1,63.5
SOIL001335,MIMAROPA,Occidental Mindoro Clay,Clay,Type I,Wet Season,258.7,27.9,410.5,0.196,19.08,1.915,6.6,2.01,66.0,24.6,31.1,45.0,1.3,Somewhat Poorly Drained,0,12.6,Virgin Land,Rice,Palay (Rice),Palay (Rice)|Tubo (Sugarcane)|Mais (Corn),63.3,100.0,81.9,56.9,51.1,79.2,92.7,78.6,73.7,81.8,81.6,76.9,78.8,53.4,51.7,50.7,76.1,50.3,54.6,51.4,46.0,68.5,59.6,77.5,40.4,36.7
SOIL005102,Bicol Region,Albay Clay Loam,Clay Loam,Type II,Dry Season,219.6,24.0,167.5,0.289,41.42,2.991,6.8,2.49,35.0,8.8,91.3,75.0,1.39,Well Drained,1,4.0,Virgin Land,Coconut,Mais (Corn),Mais (Corn)|Saging (Banana)|Tubo (Sugarcane),33.6,66.4,100.0,78.9,78.6,100.0,100.0,100.0,77.9,83.6,77.0,81.8,100.0,100.0,87.6,100.0,93.7,100.0,99.7,88.7,91.6,87.7,99.0,69.2,92.7,74.3
SOIL006584,CAR,Baguio Clay Loam,Clay Loam,Type III,Dry Season,2262.8,20.2,186.0,0.202,24.91,1.105,4.7,2.56,23.7,20.6,,90.0,1.22,Moderately Well Drained,0,21.5,Virgin Land,Coconut,Cassava,Cassava|Malunggay (Moringa)|Langka (Jackfruit),27.7,68.5,87.5,88.9,86.0,79.6,82.3,83.8,74.2,64.7,70.7,61.2,87.8,87.3,79.4,82.8,88.4,85.5,84.1,75.9,71.9,87.4,87.6,67.0,85.7,72.1
SOIL000975,CAR,Mountain Province Loam,Loam,Type III,Wet Season,1052.8,19.4,366.9,0.179,6.75,0.97,4.8,2.85,57.6,15.5,50.4,60.0,1.22,Excessively Drained,1,3.5,Monocrop,Vegetable,Palay (Rice),Palay (Rice)|Niyog (Coconut)|Kape (Coffee),45.2,87.0,79.5,73.1,65.5,68.6,72.1,86.0,85.9,79.0,79.1,70.2,81.8,51.7,45.4,44.4,83.7,43.4,44.3,41.8,47.1,84.2,60.4,74.9,46.4,50.0
SOIL003660,Northern Mindanao,Bukidnon Clay Loam,Clay Loam,Type IV,Dry Season,542.8,23.7,249.9,0.3,,2.449,5.6,2.97,39.4,15.7,,30.0,0.99,Well Drained,1,3.4,Monocrop,Rice,Mais (Corn),Mais (Corn)|Tubo (Sugarcane)|Pechay,31.6,72.1,100.0,81.9,76.3,99.2,100.0,96.3,82.8,77.7,80.9,83.1,97.9,100.0,82.8,91.7,88.5,98.4,89.6,68.4,70.7,88.8,100.0,82.9,79.5,79.3
SOIL007105,Central Visayas,Negros Clay,Clay,Type III,Wet Season,282.7,28.4,300.1,0.082,6.08,5.0,6.1,0.5,37.4,22.6,67.9,150.0,0.84,Moderately Well Drained,0,5.3,Fallow,Coconut,Tubo (Sugarcane),Tubo (Sugarcane)|Pinya (Pineapple)|Palay (Rice),55.0,76.9,75.9,56.9,57.2,73.8,85.3,74.6,71.4,72.1,71.3,71.2,72.2,49.5,49.7,49.2,75.1,53.2,42.4,41.6,36.0,78.4,56.0,71.5,30.3,32.7
SOIL002904,Western Visayas,Iloilo Clay,Clay,Type I,Dry Season,323.5,29.5,12.0,0.204,8.15,2.942,6.4,2.3,23.2,,43.2,60.0,1.14,Moderately Well Drained,0,6.9,Rotation,Coconut,Malunggay (Moringa),Malunggay (Moringa)|Tubo (Sugarcane)|Mangga (Mango),32.0,70.6,84.8,80.8,82.7,84.1,87.1,82.8,56.2,60.8,56.1,64.4,79.4,76.7,80.0,82.5,88.1,82.0,82.8,79.0,78.1,82.8,85.0,59.0,71.2,69.6
SOIL007767,Zamboanga Peninsula,Zamboanga Clay Loam,Clay Loam,Type IV,Transition,327.0,26.8,283.5,0.24,7.54,0.651,5.9,2.98,54.9,8.6,47.4,90.0,1.36,Moderately Well Drained,0,2.1,Rotation,Vegetable,Kape (Coffee),Kape (Coffee)|Abaka (Abaca)|Luya (Ginger),44.8,98.1,98.5,93.3,87.7,99.5,79.8,99.4,100.0,99.5,100.0,100.0,100.0,93.6,81.3,95.4,97.3,100.0,89.7,55.6,55.2,89.0,100.0,100.0,71.5,63.9
SOIL007756,Zamboanga Peninsula,Zamboanga Clay Loam,Clay Loam,Type IV,Dry Season,87.1,25.2,246.8,0.226,14.2,1.95,5.7,1.48,29.2,31.0,,75.0,1.14,Moderately Well Drained,0,0.8,Monocrop,Unknown,Tubo (Sugarcane),Tubo (Sugarcane)|Langka (Jackfruit)|Niyog (Coconut),34.5,80.5,95.0,85.4,81.9,95.0,99.2,97.4,78.0,77.3,78.1,76.5,97.6,95.8,83.7,85.5,96.1,95.0,86.0,67.8,64.7,85.7,96.4,73.7,68.8,67.6
SOIL006773,Zamboanga Peninsula,Zamboanga Clay Loam,Clay Loam,Type IV,Transition,37.5,26.7,235.8,0.153,3.07,1.52,6.4,1.63,64.6,25.0,69.9,45.0,1.42,Moderately Well Drained,0,18.9,Monocrop,Rice,Palay (Rice),Palay (Rice)|Saging (Banana)|Niyog (Coconut),47.6,100.0,98.5,88.0,89.4,100.0,79.9,100.0,100.0,98.2,100.0,94.6,100.0,97.4,87.7,96.9,96.5,98.5,96.7,59.1,52.4,85.2,96.8,100.0,80.8,68.9
SOIL004027,Zamboanga Peninsula,Sibugay Clay,Clay,Type IV,Dry Season,56.0,25.5,186.9,0.352,,2.733,6.2,4.0,23.1,25.6,85.4,60.0,1.33,Moderately Well Drained,1,4.9,Orchard,Unknown,Tubo (Sugarcane),Tubo (Sugarcane)|Talong (Eggplant)|Pinya (Pineapple),28.6,81.7,91.5,77.6,79.9,89.5,100.0,83.4,73.8,77.3,71.4,74.4,85.3,92.7,87.9,91.9,80.2,94.9,92.6,89.8,88.7,93.9,87.5,74.2,82.7,81.4
SOIL007144,BARMM,Lanao Sandy Loam,Sandy Loam,Type IV,Transition,128.3,28.4,193.7,0.116,29.02,0.58,6.5,0.89,27.6,10.7,48.9,90.0,1.4,Excessively Drained,0,0.8,Orchard,Vegetable,Cassava,Cassava|Malunggay (Moringa)|Pinya (Pineapple),42.3,77.1,87.9,96.3,85.3,84.2,54.0,91.8,87.5,85.0,87.1,89.4,87.5,86.2,91.9,81.4,96.0,82.7,87.1,67.9,56.5,95.6,88.6,86.1,71.5,75.2
SOIL005391,Ilocos Region,Aparri Sandy Loam,Sandy Loam,Type I,Transition,179.4,30.8,71.1,0.375,4.37,2.234,6.4,3.0,46.3,23.8,74.5,60.0,1.22,Well Drained,0,1.5,Orchard,Vegetable,Mais (Corn),Mais (Corn)|Ampalaya|Talong (Eggplant),31.8,74.7,100.0,86.6,86.1,95.1,68.2,92.1,84.3,93.4,85.0,86.1,92.1,93.3,93.8,100.0,86.8,99.7,96.3,76.1,74.4,98.8,96.9,92.6,88.0,89.4
SOIL000333,MIMAROPA,Palawan Sandy Loam,Sandy Loam,Type I,Wet Season,263.8,25.5,236.9,0.203,30.87,1.338,5.9,2.51,46.2,16.2,78.7,60.0,0.96,Excessively Drained,0,3.3,Virgin Land,Coconut,Niyog (Coconut),Niyog (Coconut)|Pinya (Pineapple)|Malunggay (Moringa),44.3,80.5,93.9,82.5,73.8,90.0,84.8,100.0,88.7,90.0,92.0,91.7,94.3,74.5,69.9,69.4,99.4,74.2,67.9,58.8,64.4,100.0,75.2,96.1,55.7,60.9
SOIL005384,Cagayan Valley,Tuguegarao Clay Loam,Clay Loam,Type III,Dry Season,173.9,29.1,268.4,0.083,9.11,1.466,6.9,0.53,28.8,12.1,41.3,90.0,1.0,Poorly Drained,0,0.2,Virgin Land,Coconut,Ampalaya,Ampalaya|Mais (Corn)|Langka (Jackfruit),48.5,72.6,86.8,81.3,79.3,81.7,85.2,85.3,59.3,69.2,64.9,65.2,85.8,79.8,76.8,87.4,85.2,85.5,73.8,61.7,55.5,76.7,85.3,55.9,54.6,38.9
SOIL005142,Central Luzon,Bulacan Clay Loam,Clay Loam,Type I,Dry Season,203.6,28.0,23.8,0.272,25.2,2.744,6.1,2.93,25.9,25.2,93.3,90.0,1.26,Moderately Well Drained,0,7.2,Monocrop,Rice,Kamatis (Tomato),Kamatis (Tomato)|Ampalaya|Mangga (Mango),27.2,69.0,89.9,78.7,76.6,92.6,89.4,91.7,71.2,68.4,68.8,69.7,90.6,91.0,79.1,95.4,94.1,93.6,95.6,82.5,81.5,81.3,94.4,69.8,79.3,69.0
